point,X,Y
1,674982.85,3893145.85
2,675013.98,3893137.13
3,675017.49,3893123.96
4,675017.84,3893109.28
5,675015.29,3893102.01
6,675029.00,3893099.00
7,675071.21,3893082.90
8,675071.51,3893080.59
9,675072.32,3893079.11
10,675070.51,3893075.47
11,675069.29,3893074.26
12,675065.66,3893071.43
13,675062.67,3893070.42
14,675059.38,3893067.83
15,675058.15,3893067.41
16,675046.09,3893066.25
17,675050.05,3893064.37
18,675058.20,3893056.90
19,675054.14,3893052.86
20,675051.72,3893044.97
21,675047.51,3893035.55
22,675045.81,3893030.60
23,675016.72,3893044.73
24,675005.56,3893054.71
25,674980.96,3893061.39
26,674958.95,3893067.91
27,674947.54,3893142.71
28,674982.85,3893145.85
