point,X,Y
1,674651.71,3893456.11
2,674661.20,3893452.57
3,674669.30,3893450.02
4,674678.94,3893449.33
5,674682.26,3893448.48
6,674690.52,3893448.17
7,674700.31,3893446.02
8,674710.68,3893447.18
9,674710.90,3893436.78
10,674693.00,3893404.21
11,674678.39,3893386.40
12,674655.74,3893355.10
13,674634.21,3893358.01
14,674604.23,3893351.06
15,674555.59,3893368.63
16,674560.28,3893376.52
17,674566.18,3893385.68
18,674567.40,3893387.58
19,674570.03,3893396.09
20,674570.82,3893404.05
21,674570.32,3893416.23
22,674568.67,3893421.94
23,674560.48,3893428.30
24,674550.81,3893431.00
25,674541.81,3893436.99
26,674533.89,3893444.77
27,674532.71,3893450.60
28,674534.41,3893453.83
29,674543.21,3893458.29
30,674560.72,3893461.28
31,674578.32,3893463.24
32,674591.33,3893460.69
33,674604.68,3893452.04
34,674612.21,3893440.75
35,674619.84,3893425.80
36,674627.45,3893406.01
37,674634.45,3893404.00
38,674643.36,3893411.75
39,674648.64,3893423.16
40,674645.85,3893443.31
41,674640.50,3893455.33
42,674635.75,3893463.92
43,674637.90,3893465.82
44,674651.71,3893456.11
