point,X,Y
1,674643.29,3892508.86
2,674666.58,3892502.49
3,674668.43,3892501.67
4,674675.92,3892500.04
5,674678.39,3892499.81
6,674682.26,3892486.52
7,674685.71,3892476.63
8,674663.71,3892482.26
9,674661.48,3892473.01
10,674653.29,3892443.24
11,674652.99,3892440.08
12,674652.66,3892438.54
13,674622.19,3892426.68
14,674612.07,3892421.72
15,674593.19,3892431.49
16,674586.60,3892432.08
17,674574.05,3892439.37
18,674578.74,3892452.59
19,674585.82,3892473.20
20,674589.32,3892485.54
21,674597.41,3892498.25
22,674599.80,3892513.59
23,674603.14,3892513.04
24,674612.75,3892513.19
25,674619.26,3892511.35
26,674624.63,3892511.01
27,674633.12,3892510.12
28,674636.99,3892509.87
29,674643.29,3892508.86
